variable;source locations;header locations;kconfig locations;kbuild locations;prompt;solutions
CONFIG_ACCESSIBILITY;;;\drivers\accessibility\Kconfig:1;\drivers\Makefile:115;yes;"!CONFIG_A11Y_BRAILLE_CONSOLE"
CONFIG_ACPI_APEI_MEMORY_FAILURE;\drivers\acpi\apei\ghes.c:393;;\drivers\acpi\apei\Kconfig:42;;yes;"CONFIG_ACPI CONFIG_ACPI_APEI !CONFIG_ACPI_APEI_GHES"
CONFIG_APM_DISPLAY_BLANK;\arch\x86\kernel\apm_32.c:243, \arch\x86\kernel\apm_32.c:1115, \arch\x86\kernel\apm_32.c:1853, \arch\x86\kernel\apm_32.c:1857;;\arch\x86\Kconfig:2275;;yes;"!CONFIG_APM CONFIG_APM_MODULE !CONFIG_VT 
CONFIG_APM !CONFIG_APM_MODULE !CONFIG_VT"
CONFIG_ARCH_DMA_ADDR_T_64BIT;\drivers\dma\sh\rcar-dmac.c:334, \drivers\dma\sh\rcar-dmac.c:392, \drivers\dma\sh\rcar-dmac.c:869, \drivers\gpu\drm\tegra\dc.c:746, \drivers\iommu\tegra-smmu.c:175, \drivers\net\ethernet\adaptec\starfire.c:139;\include\linux\goldfish.h:20, \include\linux\types.h:151;\arch\alpha\Kconfig:67, \arch\arc\Kconfig:469, \arch\arm\mm\Kconfig:646, \arch\arm64\Kconfig:149, \arch\ia64\Kconfig:80, \arch\mips\Kconfig:1078, \arch\powerpc\Kconfig:23, \arch\s390\Kconfig:37, \arch\tile\Kconfig:92, \arch\x86\Kconfig:1306;;no;"<too much to display>"
CONFIG_ARCH_HAS_ATOMIC64_DEC_IF_POSITIVE;\lib\atomic64_test.c:140;;\lib\Kconfig:455;;no;"!CONFIG_ATOMIC64_SELFTEST"
CONFIG_ARCH_HAS_CPU_RELAX;\drivers\cpuidle\driver.c:180, \drivers\cpuidle\driver.c:208;\include\linux\cpuidle.h:246;\arch\x86\Kconfig:221;;no;"!CONFIG_CPU_IDLE"
CONFIG_ARCH_HAVE_NMI_SAFE_CMPXCHG;\drivers\acpi\apei\ghes.c:803, \drivers\acpi\apei\ghes.c:865, \lib\genalloc.c:23, \lib\genalloc.c:278, \lib\genalloc.c:360, \lib\llist.c:7, \mm\vmalloc.c:1502;\include\linux\genalloc.h:23, \include\linux\llist.h:39;\arch\Kconfig:297;;no;"CONFIG_ACPI !CONFIG_ACPI_APEI_GHES !CONFIG_GENERIC_ALLOCATOR CONFIG_HAVE_ACPI_APEI_NMI 
!CONFIG_ACPI !CONFIG_ACPI_APEI !CONFIG_ACPI_APEI_GHES !CONFIG_GENERIC_ALLOCATOR !CONFIG_HAVE_ACPI_APEI_NMI"
CONFIG_ARCH_WANT_GENERAL_HUGETLB;\mm\hugetlb.c:4279, \mm\hugetlb.c:4323;;\arch\arm\Kconfig:1717, \arch\arm64\Kconfig:532, \arch\x86\Kconfig:245;;no;"!CONFIG_HUGETLBFS"
CONFIG_ARCH_WANT_HUGE_PMD_SHARE;\mm\hugetlb.c:4139, \mm\hugetlb.c:4266, \mm\hugetlb.c:4277;\include\linux\hugetlb.h:99;\arch\arm64\Kconfig:535, \arch\x86\Kconfig:242;;no;"!CONFIG_HUGETLBFS"
CONFIG_ARCH_WANT_IPC_PARSE_VERSION;\ipc\util.c:714, \ipc\util.c:735;\ipc\util.h:144;\arch\Kconfig:314;;no;"!CONFIG_SYSVIPC"
CONFIG_ARCH_WANT_OLD_COMPAT_IPC;\ipc\compat.c:328;;\arch\Kconfig:320;;no;"!CONFIG_SYSVIPC_COMPAT"
CONFIG_ATH5K_PCI;;;\drivers\net\wireless\ath\ath5k\Kconfig:61;\drivers\net\wireless\ath\ath5k\Makefile:21;yes;"!CONFIG_ATH5K !CONFIG_ATH5K_MODULE CONFIG_ATH_CARDS !CONFIG_ATH_CARDS_MODULE CONFIG_WLAN 
!CONFIG_ATH5K !CONFIG_ATH5K_MODULE !CONFIG_ATH_CARDS CONFIG_ATH_CARDS_MODULE CONFIG_WLAN"
CONFIG_ATH_DEBUG;\drivers\net\wireless\ath\ath9k\debug.c:84, \drivers\net\wireless\ath\ath9k\debug.c:1314;\drivers\net\wireless\ath\ath.h:291, \drivers\net\wireless\ath\ath.h:318, \drivers\net\wireless\ath\ath.h:321;\drivers\net\wireless\ath\Kconfig:22;\drivers\net\wireless\ath\Makefile:19;yes;"!CONFIG_ATH9K !CONFIG_ATH9K_MODULE !CONFIG_ATH9K_DEBUGFS !CONFIG_ATH9K_HW !CONFIG_ATH9K_HW_MODULE CONFIG_ATH_CARDS !CONFIG_ATH_CARDS_MODULE !CONFIG_ATH_COMMON !CONFIG_ATH_COMMON_MODULE CONFIG_WLAN 
!CONFIG_ATH9K !CONFIG_ATH9K_MODULE !CONFIG_ATH9K_DEBUGFS !CONFIG_ATH9K_HW !CONFIG_ATH9K_HW_MODULE !CONFIG_ATH_CARDS CONFIG_ATH_CARDS_MODULE !CONFIG_ATH_COMMON !CONFIG_ATH_COMMON_MODULE CONFIG_WLAN"
CONFIG_ATH_TRACEPOINTS;;\drivers\net\wireless\ath\trace.h:26, \drivers\net\wireless\ath\trace.h:31;\drivers\net\wireless\ath\Kconfig:28;\drivers\net\wireless\ath\Makefile:20;yes;"!CONFIG_ATH_CARDS CONFIG_ATH_CARDS_MODULE !CONFIG_ATH_COMMON !CONFIG_ATH_COMMON_MODULE CONFIG_WLAN 
CONFIG_ATH_CARDS !CONFIG_ATH_CARDS_MODULE !CONFIG_ATH_COMMON !CONFIG_ATH_COMMON_MODULE CONFIG_WLAN"
