variable;presence conditions
CONFIG_ACCESSIBILITY;CONFIG_ACCESSIBILITY && CONFIG_A11Y_BRAILLE_CONSOLE
CONFIG_INLINE_READ_UNLOCK_IRQ;((CONFIG_SMP || CONFIG_PROVE_LOCKING) || CONFIG_DEBUG_SPINLOCK) && !CONFIG_INLINE_READ_UNLOCK_IRQ
CONFIG_DEBUG_VM_VMACACHE;CONFIG_DEBUG_VM_VMACACHE && (CONFIG_VM_EVENT_COUNTERS && ((CONFIG_PROC_FS || CONFIG_SYSFS) || CONFIG_NUMA))
CONFIG_DVB_AU8522_MODULE;(CONFIG_DVB_CORE || CONFIG_DVB_CORE_MODULE) && (CONFIG_DVB_AU8522 || CONFIG_DVB_AU8522_MODULE)
CONFIG_OMAP_CONTROL_PHY_MODULE;CONFIG_GENERIC_PHY && (CONFIG_OMAP_CONTROL_PHY || CONFIG_OMAP_CONTROL_PHY_MODULE)
CONFIG_UNINLINE_SPIN_UNLOCK;((CONFIG_SMP || CONFIG_PROVE_LOCKING) || CONFIG_DEBUG_SPINLOCK) && CONFIG_UNINLINE_SPIN_UNLOCK
CONFIG_DVB_DUMMY_FE_MODULE;(CONFIG_DVB_CORE || CONFIG_DVB_CORE_MODULE) && (CONFIG_DVB_DUMMY_FE || CONFIG_DVB_DUMMY_FE_MODULE)
CONFIG_VIDEOBUF2_MEMOPS;(CONFIG_VIDEO_DEV || CONFIG_VIDEO_DEV_MODULE) && (CONFIG_VIDEOBUF2_MEMOPS || CONFIG_VIDEOBUF2_MEMOPS_MODULE)
CONFIG_RFKILL_REGULATOR;(CONFIG_RFKILL || CONFIG_RFKILL_MODULE) && (CONFIG_RFKILL_REGULATOR || CONFIG_RFKILL_REGULATOR_MODULE)
CONFIG_ARCH_WANT_GENERAL_HUGETLB;CONFIG_HUGETLBFS && CONFIG_ARCH_WANT_GENERAL_HUGETLB
CONFIG_GENERIC_SMP_IDLE_THREAD;CONFIG_GENERIC_SMP_IDLE_THREAD && CONFIG_SMP
CONFIG_NET_VENDOR_AURORA;(CONFIG_ETHERNET && CONFIG_NET_VENDOR_AURORA) && (CONFIG_AURORA_NB8800 || CONFIG_AURORA_NB8800_MODULE)
CONFIG_USB_WUSB_CBAF_MODULE;((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_WUSB || CONFIG_USB_WUSB_MODULE)) && (CONFIG_USB_WUSB_CBAF || CONFIG_USB_WUSB_CBAF_MODULE)
CONFIG_DVB_DUMMY_FE;(CONFIG_DVB_CORE || CONFIG_DVB_CORE_MODULE) && (CONFIG_DVB_DUMMY_FE || CONFIG_DVB_DUMMY_FE_MODULE)
CONFIG_PREEMPT_COUNT;CONFIG_DEBUG_LOCK_ALLOC && CONFIG_PREEMPT_COUNT
CONFIG_NET_VENDOR_SAMSUNG;((CONFIG_ETHERNET && CONFIG_NET_VENDOR_SAMSUNG) && (CONFIG_SXGBE_ETH || CONFIG_SXGBE_ETH_MODULE)) && (CONFIG_SXGBE_ETH || CONFIG_SXGBE_ETH_MODULE)
CONFIG_VLAN_8021Q_MVRP;(CONFIG_VLAN_8021Q && (CONFIG_VLAN_8021Q || CONFIG_VLAN_8021Q_MODULE)) && CONFIG_VLAN_8021Q_MVRP
CONFIG_ASYNC_MEMCPY;(CONFIG_DMADEVICES && CONFIG_DMA_ENGINE) && (CONFIG_ASYNC_MEMCPY || CONFIG_ASYNC_MEMCPY_MODULE)
CONFIG_STM_SOURCE_CONSOLE;(CONFIG_STM || CONFIG_STM_MODULE) && (CONFIG_STM_SOURCE_CONSOLE || CONFIG_STM_SOURCE_CONSOLE_MODULE)
CONFIG_RTLLIB_CRYPTO_CCMP_MODULE;(CONFIG_STAGING && (CONFIG_RTL8192E || CONFIG_RTL8192E_MODULE)) && (CONFIG_RTLLIB_CRYPTO_CCMP || CONFIG_RTLLIB_CRYPTO_CCMP_MODULE)
CONFIG_SND_OPL3_LIB_MODULE;(((CONFIG_SND || CONFIG_SND_MODULE) && (CONFIG_SND || CONFIG_SND_MODULE)) && (CONFIG_SND_OPL3_LIB || CONFIG_SND_OPL3_LIB_MODULE)) || (((CONFIG_SND || CONFIG_SND_MODULE) && (CONFIG_SND || CONFIG_SND_MODULE)) && (CONFIG_SND_OPL4_LIB || CONFIG_SND_OPL4_LIB_MODULE))
CONFIG_OMAP_CONTROL_PHY;CONFIG_GENERIC_PHY && (CONFIG_OMAP_CONTROL_PHY || CONFIG_OMAP_CONTROL_PHY_MODULE)
CONFIG_VIDEOBUF2_MEMOPS_MODULE;(CONFIG_VIDEO_DEV || CONFIG_VIDEO_DEV_MODULE) && (CONFIG_VIDEOBUF2_MEMOPS || CONFIG_VIDEOBUF2_MEMOPS_MODULE)
CONFIG_INLINE_READ_UNLOCK;((CONFIG_SMP || CONFIG_PROVE_LOCKING) || CONFIG_DEBUG_SPINLOCK) && !CONFIG_INLINE_READ_UNLOCK
CONFIG_RFKILL_REGULATOR_MODULE;(CONFIG_RFKILL || CONFIG_RFKILL_MODULE) && (CONFIG_RFKILL_REGULATOR || CONFIG_RFKILL_REGULATOR_MODULE)
CONFIG_ARCH_WANT_IPC_PARSE_VERSION;CONFIG_SYSVIPC && CONFIG_ARCH_WANT_IPC_PARSE_VERSION
CONFIG_STM_SOURCE_CONSOLE_MODULE;(CONFIG_STM || CONFIG_STM_MODULE) && (CONFIG_STM_SOURCE_CONSOLE || CONFIG_STM_SOURCE_CONSOLE_MODULE)
CONFIG_SYSCTL_EXCEPTION_TRACE;CONFIG_SYSCTL_EXCEPTION_TRACE && CONFIG_SYSCTL
CONFIG_SND_SST_IPC_ACPI_MODULE;((((CONFIG_SND || CONFIG_SND_MODULE) && (CONFIG_SND_SOC || CONFIG_SND_SOC_MODULE)) && (CONFIG_SND_SST_MFLD_PLATFORM || CONFIG_SND_SST_MFLD_PLATFORM_MODULE)) && (CONFIG_SND_SST_IPC || CONFIG_SND_SST_IPC_MODULE)) && (CONFIG_SND_SST_IPC_ACPI || CONFIG_SND_SST_IPC_ACPI_MODULE)
CONFIG_INLINE_SPIN_UNLOCK_IRQ;((CONFIG_SMP || CONFIG_PROVE_LOCKING) || CONFIG_DEBUG_SPINLOCK) && !CONFIG_INLINE_SPIN_UNLOCK_IRQ
CONFIG_HID_PID;(((((CONFIG_HID || CONFIG_HID_MODULE) && (CONFIG_USB_HID || CONFIG_USB_HID_MODULE)) || ((CONFIG_HID || CONFIG_HID_MODULE) && (CONFIG_USB_MOUSE || CONFIG_USB_MOUSE_MODULE))) || ((CONFIG_HID || CONFIG_HID_MODULE) && (CONFIG_USB_KBD || CONFIG_USB_KBD_MODULE))) && (CONFIG_USB_HID || CONFIG_USB_HID_MODULE)) && CONFIG_HID_PID
CONFIG_SND_OPL3_LIB;(((CONFIG_SND || CONFIG_SND_MODULE) && (CONFIG_SND || CONFIG_SND_MODULE)) && (CONFIG_SND_OPL3_LIB || CONFIG_SND_OPL3_LIB_MODULE)) || (((CONFIG_SND || CONFIG_SND_MODULE) && (CONFIG_SND || CONFIG_SND_MODULE)) && (CONFIG_SND_OPL4_LIB || CONFIG_SND_OPL4_LIB_MODULE))
CONFIG_MGEODEGX1;(CONFIG_MGEODEGX1 || CONFIG_MGEODE_LX) || CONFIG_X86_GENERIC
CONFIG_NET_VENDOR_ROCKER;(CONFIG_ETHERNET && CONFIG_NET_VENDOR_ROCKER) && (CONFIG_ROCKER || CONFIG_ROCKER_MODULE)
CONFIG_IP_VS_DEBUG;((CONFIG_NETFILTER && (CONFIG_IP_VS || CONFIG_IP_VS_MODULE)) && (CONFIG_IP_VS_PE_SIP || CONFIG_IP_VS_PE_SIP_MODULE)) && CONFIG_IP_VS_DEBUG
CONFIG_DVB_AU8522;(CONFIG_DVB_CORE || CONFIG_DVB_CORE_MODULE) && (CONFIG_DVB_AU8522 || CONFIG_DVB_AU8522_MODULE)
CONFIG_HSU_DMA_PCI;(CONFIG_DMADEVICES && (CONFIG_HSU_DMA || CONFIG_HSU_DMA_MODULE)) && (CONFIG_HSU_DMA_PCI || CONFIG_HSU_DMA_PCI_MODULE)
CONFIG_USB_MUSB_HOST;(((((CONFIG_USB_PHY || (CONFIG_USB || CONFIG_USB_MODULE)) || CONFIG_PCI) || (CONFIG_USB_GADGET || CONFIG_USB_GADGET_MODULE)) && (CONFIG_USB_MUSB_HDRC || CONFIG_USB_MUSB_HDRC_MODULE)) && (CONFIG_USB_MUSB_SUNXI || CONFIG_USB_MUSB_SUNXI_MODULE)) && (CONFIG_USB_MUSB_DUAL_ROLE || CONFIG_USB_MUSB_HOST)
CONFIG_SND_SST_IPC_ACPI;((((CONFIG_SND || CONFIG_SND_MODULE) && (CONFIG_SND_SOC || CONFIG_SND_SOC_MODULE)) && (CONFIG_SND_SST_MFLD_PLATFORM || CONFIG_SND_SST_MFLD_PLATFORM_MODULE)) && (CONFIG_SND_SST_IPC || CONFIG_SND_SST_IPC_MODULE)) && (CONFIG_SND_SST_IPC_ACPI || CONFIG_SND_SST_IPC_ACPI_MODULE)
CONFIG_REGULATOR_DEBUG;(CONFIG_REGULATOR && CONFIG_REGULATOR_DBX500_PRCMU) && CONFIG_REGULATOR_DEBUG
CONFIG_HAVE_SYSCALL_TRACEPOINTS;CONFIG_TRACEPOINTS && CONFIG_HAVE_SYSCALL_TRACEPOINTS
