variable;solutions
CONFIG_VIDEOBUF2_MEMOPS_MODULE;!CONFIG_VIDEOBUF2_MEMOPS !CONFIG_VIDEO_DEV_MODULE !CONFIG_VIDEO_DEV 
CONFIG_UNINLINE_SPIN_UNLOCK;!CONFIG_DEBUG_SPINLOCK !CONFIG_SMP !CONFIG_PROVE_LOCKING 
CONFIG_VIDEOBUF2_MEMOPS;!CONFIG_VIDEO_DEV_MODULE !CONFIG_VIDEOBUF2_MEMOPS_MODULE !CONFIG_VIDEO_DEV 
CONFIG_SND_OPL3_LIB_MODULE;!CONFIG_SND CONFIG_SND_OPL4_LIB_MODULE !CONFIG_SND_OPL4_LIB !CONFIG_SND_OPL3_LIB CONFIG_SND_MODULE ;CONFIG_SND CONFIG_SND_OPL4_LIB_MODULE !CONFIG_SND_OPL4_LIB !CONFIG_SND_OPL3_LIB !CONFIG_SND_MODULE ;CONFIG_SND !CONFIG_SND_OPL4_LIB_MODULE CONFIG_SND_OPL4_LIB !CONFIG_SND_OPL3_LIB !CONFIG_SND_MODULE 
CONFIG_ASYNC_MEMCPY;!CONFIG_DMA_ENGINE !CONFIG_ASYNC_MEMCPY_MODULE 
CONFIG_ARCH_WANT_GENERAL_HUGETLB;!CONFIG_HUGETLBFS 
CONFIG_INLINE_READ_UNLOCK_IRQ;!CONFIG_DEBUG_SPINLOCK !CONFIG_SMP !CONFIG_PROVE_LOCKING 
CONFIG_DVB_AU8522;!CONFIG_DVB_CORE !CONFIG_DVB_AU8522_MODULE !CONFIG_DVB_CORE_MODULE 
CONFIG_ARCH_WANT_IPC_PARSE_VERSION;!CONFIG_SYSVIPC 
CONFIG_INLINE_WRITE_UNLOCK;!CONFIG_DEBUG_SPINLOCK !CONFIG_SMP !CONFIG_PROVE_LOCKING 
CONFIG_X86_INTEL_USERCOPY;!CONFIG_X86_32 ;!CONFIG_CPU_SUP_INTEL CONFIG_X86_32 
CONFIG_HSU_DMA_PCI;!CONFIG_HSU_DMA_PCI_MODULE !CONFIG_HSU_DMA_MODULE !CONFIG_HSU_DMA 
CONFIG_SND_SST_IPC_ACPI;!CONFIG_SND_SOC_MODULE CONFIG_SND !CONFIG_SND_SST_MFLD_PLATFORM_MODULE !CONFIG_SND_SST_IPC_MODULE !CONFIG_SND_SST_IPC_ACPI_MODULE CONFIG_SND_SST_MFLD_PLATFORM !CONFIG_SND_SST_IPC CONFIG_SND_SOC !CONFIG_SND_MODULE 
CONFIG_SYSCTL_EXCEPTION_TRACE;!CONFIG_SYSCTL 
CONFIG_GENERIC_SMP_IDLE_THREAD;!CONFIG_SMP 
CONFIG_SND_SST_IPC_ACPI_MODULE;!CONFIG_SND_SOC_MODULE CONFIG_SND CONFIG_SND_SST_MFLD_PLATFORM_MODULE !CONFIG_SND_SST_IPC_MODULE !CONFIG_SND_SST_MFLD_PLATFORM !CONFIG_SND_SST_IPC !CONFIG_SND_SST_IPC_ACPI CONFIG_SND_SOC !CONFIG_SND_MODULE ;CONFIG_SND_SOC_MODULE CONFIG_SND CONFIG_SND_SST_MFLD_PLATFORM_MODULE !CONFIG_SND_SST_IPC_MODULE !CONFIG_SND_SST_MFLD_PLATFORM !CONFIG_SND_SST_IPC !CONFIG_SND_SST_IPC_ACPI !CONFIG_SND_SOC !CONFIG_SND_MODULE ;CONFIG_SND_SOC_MODULE !CONFIG_SND CONFIG_SND_SST_MFLD_PLATFORM_MODULE !CONFIG_SND_SST_IPC_MODULE !CONFIG_SND_SST_MFLD_PLATFORM !CONFIG_SND_SST_IPC !CONFIG_SND_SST_IPC_ACPI !CONFIG_SND_SOC CONFIG_SND_MODULE 
CONFIG_SND_OPL3_LIB;!CONFIG_SND_OPL3_LIB_MODULE CONFIG_SND CONFIG_SND_OPL4_LIB_MODULE !CONFIG_SND_OPL4_LIB !CONFIG_SND_MODULE ;!CONFIG_SND_OPL3_LIB_MODULE CONFIG_SND !CONFIG_SND_OPL4_LIB_MODULE CONFIG_SND_OPL4_LIB !CONFIG_SND_MODULE 
CONFIG_INLINE_READ_UNLOCK;!CONFIG_DEBUG_SPINLOCK !CONFIG_SMP !CONFIG_PROVE_LOCKING 
CONFIG_ARCH_WANT_OLD_COMPAT_IPC;!CONFIG_SYSVIPC_COMPAT 
CONFIG_ASYNC_MEMCPY_MODULE;!CONFIG_DMA_ENGINE !CONFIG_ASYNC_MEMCPY 
CONFIG_PREEMPT_COUNT;!CONFIG_DEBUG_LOCK_ALLOC 
CONFIG_HSU_DMA_PCI_MODULE;!CONFIG_HSU_DMA_MODULE !CONFIG_HSU_DMA !CONFIG_HSU_DMA_PCI 
CONFIG_HAVE_SYSCALL_TRACEPOINTS;!CONFIG_TRACEPOINTS 
CONFIG_INLINE_SPIN_UNLOCK_IRQ;!CONFIG_DEBUG_SPINLOCK !CONFIG_SMP !CONFIG_PROVE_LOCKING 
