Type;File;Inner Cond.;Depends on;Inner No.;Depends on No.
nesting depends candidate;./mm/vmalloc.c;CONFIG_DEBUG_PAGEALLOC;(CONFIG_MMU);547;0
nesting depends candidate;./mm/vmalloc.c;(CONFIG_64BIT) && (CONFIG_ZONE_DMA32);(CONFIG_MMU);1849;0
nesting depends candidate;./mm/vmalloc.c;(CONFIG_64BIT) && (CONFIG_ZONE_DMA);(CONFIG_MMU);1851;0
nesting depends candidate;./mm/vmalloc.c;CONFIG_SMP;(CONFIG_MMU);2275;0
nesting depends candidate;./mm/vmalloc.c;CONFIG_PROC_FS;(CONFIG_MMU);2554;0
nesting depends candidate;./mm/rmap.c;CONFIG_ARCH_WANT_BATCHED_UNMAP_TLB_FLUSH;(CONFIG_MMU);589;0
nesting depends candidate;./mm/rmap.c;CONFIG_DEBUG_VM;(CONFIG_MMU);1111;0
nesting depends candidate;./mm/rmap.c;CONFIG_HUGETLB_PAGE;(CONFIG_MMU);1673;0
nesting depends candidate;./mm/migrate.c;CONFIG_HUGETLB_PAGE;(CONFIG_MIGRATION);155;0
nesting depends candidate;./mm/migrate.c;CONFIG_BLOCK;(CONFIG_MIGRATION);254;0
nesting depends candidate;./mm/migrate.c;CONFIG_BLOCK;(CONFIG_MIGRATION);611;0
nesting depends candidate;./mm/migrate.c;CONFIG_NUMA;(CONFIG_MIGRATION);1189;0
nesting depends candidate;./mm/migrate.c;CONFIG_NUMA_BALANCING;(CONFIG_MIGRATION) && (CONFIG_NUMA);1541;1189
nesting depends candidate;./mm/migrate.c;(CONFIG_NUMA_BALANCING) && (CONFIG_TRANSPARENT_HUGEPAGE);(CONFIG_MIGRATION) && (CONFIG_NUMA);1726;1189
nesting depends candidate;./mm/frontswap.c;CONFIG_DEBUG_FS;(CONFIG_FRONTSWAP);51;0
nesting depends candidate;./mm/frontswap.c;CONFIG_DEBUG_FS;(CONFIG_FRONTSWAP);490;0
nesting depends candidate;./mm/ksm.c;CONFIG_NUMA;(CONFIG_KSM);44;0
nesting depends candidate;./mm/ksm.c;CONFIG_NUMA;(CONFIG_KSM);144;0
nesting depends candidate;./mm/ksm.c;CONFIG_NUMA;(CONFIG_KSM);165;0
nesting depends candidate;./mm/ksm.c;CONFIG_NUMA;(CONFIG_KSM);226;0
nesting depends candidate;./mm/ksm.c;CONFIG_SYSFS;(CONFIG_KSM);699;0
nesting depends candidate;./mm/ksm.c;CONFIG_MIGRATION;(CONFIG_KSM);1976;0
nesting depends candidate;./mm/ksm.c;CONFIG_MEMORY_HOTREMOVE;(CONFIG_KSM);2001;0
nesting depends candidate;./mm/ksm.c;CONFIG_SYSFS;(CONFIG_KSM);2094;0
nesting depends candidate;./mm/ksm.c;CONFIG_NUMA;(CONFIG_KSM) && (CONFIG_SYSFS);2199;2094
nesting depends candidate;./mm/ksm.c;CONFIG_NUMA;(CONFIG_KSM) && (CONFIG_SYSFS);2311;2094
nesting depends candidate;./mm/ksm.c;CONFIG_SYSFS;(CONFIG_KSM);2339;0
nesting depends candidate;./mm/ksm.c;CONFIG_MEMORY_HOTREMOVE;(CONFIG_KSM);2351;0
nesting depends candidate;./mm/dmapool.c;(CONFIG_DEBUG_SLAB) || (CONFIG_SLUB_DEBUG_ON);(CONFIG_HAS_DMA);41;0
nesting depends candidate;./mm/kmemleak.c;CONFIG_SMP;(CONFIG_DEBUG_KMEMLEAK);1371;0
nesting depends candidate;./mm/kmemleak.c;CONFIG_DEBUG_KMEMLEAK_DEFAULT_OFF;(CONFIG_DEBUG_KMEMLEAK);1863;0
nesting depends candidate;./mm/kmemleak-test.c;! CONFIG_MODULES;((CONFIG_DEBUG_KMEMLEAK_TEST || CONFIG_DEBUG_KMEMLEAK_TEST_MODULE));63;0
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_DEBUG_LOCK_ALLOC;(CONFIG_MEMORY_HOTPLUG);62;0
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_DEBUG_LOCK_ALLOC;(CONFIG_MEMORY_HOTPLUG);69;0
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_MEMORY_HOTPLUG_SPARSE;(CONFIG_MEMORY_HOTPLUG);157;0
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_HAVE_BOOTMEM_INFO_NODE;(CONFIG_MEMORY_HOTPLUG) && (CONFIG_MEMORY_HOTPLUG_SPARSE);183;157
nesting depends candidate;./mm/memory_hotplug.c;! CONFIG_SPARSEMEM_VMEMMAP;(CONFIG_MEMORY_HOTPLUG) && ((CONFIG_HAVE_BOOTMEM_INFO_NODE) && (CONFIG_MEMORY_HOTPLUG_SPARSE));184;183
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_MEMORY_HOTREMOVE;(CONFIG_MEMORY_HOTPLUG) && (CONFIG_MEMORY_HOTPLUG_SPARSE);530;157
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_MOVABLE_NODE;(CONFIG_MEMORY_HOTPLUG) && (CONFIG_MEMORY_HOTPLUG_SPARSE);882;157
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_HIGHMEM;(CONFIG_MEMORY_HOTPLUG) && (CONFIG_MEMORY_HOTPLUG_SPARSE);929;157
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_ZONE_DEVICE;(CONFIG_MEMORY_HOTPLUG);1224;0
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_MEMORY_HOTREMOVE;(CONFIG_MEMORY_HOTPLUG);1325;0
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_DEBUG_VM;(CONFIG_MEMORY_HOTPLUG) && (CONFIG_MEMORY_HOTREMOVE);1476;1325
nesting depends candidate;./mm/memory_hotplug.c;CONFIG_MOVABLE_NODE;(CONFIG_MEMORY_HOTPLUG) && (CONFIG_MEMORY_HOTREMOVE);1557;1325
