Type;File;Inner Cond.;Depends on;Inner No.;Depends on No.;Excluded Condition;Variable;Permanent Parents
permanent nesting depends;./mm/vmstat.c;CONFIG_DEBUG_TLBFLUSH;(CONFIG_VM_EVENT_COUNTERS) && ((CONFIG_PROC_FS) || (CONFIG_SYSFS) || (CONFIG_NUMA));856;769;!CONFIG_PROC_FS, !CONFIG_VM_EVENT_COUNTERS, !CONFIG_NUMA, CONFIG_SYSFS, CONFIG_DEBUG_TLBFLUS;CONFIG_DEBUG_TLBFLUSH;[CONFIG_PROC_FS, CONFIG_VM_EVENT_COUNTERS, CONFIG_NUMA, CONFIG_SYSFS]
permanent nesting depends;./mm/vmstat.c;CONFIG_DEBUG_VM_VMACACHE;(CONFIG_VM_EVENT_COUNTERS) && ((CONFIG_PROC_FS) || (CONFIG_SYSFS) || (CONFIG_NUMA));865;769;!CONFIG_PROC_FS, !CONFIG_VM_EVENT_COUNTERS, !CONFIG_NUMA, CONFIG_SYSFS, CONFIG_DEBUG_VM_VMACACH;CONFIG_DEBUG_VM_VMACACHE;[CONFIG_PROC_FS, CONFIG_VM_EVENT_COUNTERS, CONFIG_NUMA, CONFIG_SYSFS]
permanent nesting depends;./arch/x86/kernel/kvm.c;CONFIG_KVM_DEBUG_FS;(CONFIG_KVM_GUEST) && ((!(CONFIG_QUEUED_SPINLOCKS)) && (CONFIG_PARAVIRT_SPINLOCKS));628;618;CONFIG_KVM_GUEST, !CONFIG_QUEUED_SPINLOCKS, !CONFIG_PARAVIRT_SPINLOCKS, CONFIG_KVM_DEBUG_F;CONFIG_KVM_DEBUG_FS;[CONFIG_KVM_GUEST, CONFIG_QUEUED_SPINLOCKS, CONFIG_PARAVIRT_SPINLOCKS]
permanent nesting depends;./drivers/memstick/core/mspro_block.c;CONFIG_MEMSTICK_UNSAFE_RESUME;((((CONFIG_MEMSTICK || CONFIG_MEMSTICK_MODULE) && (CONFIG_MEMSTICK || CONFIG_MEMSTICK_MODULE)) && (CONFIG_MSPRO_BLOCK || CONFIG_MSPRO_BLOCK_MODULE))) && (CONFIG_PM);1381;1360;CONFIG_MEMSTICK_UNSAFE_RESUME, CONFIG_MEMSTICK, !CONFIG_MSPRO_BLOCK_MODULE, !CONFIG_MEMSTICK_MODULE, !CONFIG_MSPRO_BLOCK, CONFIG_P;CONFIG_MEMSTICK_UNSAFE_RESUME;[CONFIG_MEMSTICK, CONFIG_MEMSTICK_MODULE, CONFIG_PM]
permanent nesting depends;./drivers/memstick/core/ms_block.c;! CONFIG_MEMSTICK_UNSAFE_RESUME;((((CONFIG_MEMSTICK || CONFIG_MEMSTICK_MODULE) && (CONFIG_MEMSTICK || CONFIG_MEMSTICK_MODULE)) && (CONFIG_MS_BLOCK || CONFIG_MS_BLOCK_MODULE))) && (CONFIG_PM);2252;2238;CONFIG_MEMSTICK_UNSAFE_RESUME, CONFIG_MEMSTICK, !CONFIG_MEMSTICK_MODULE, !CONFIG_MS_BLOCK, !CONFIG_MS_BLOCK_MODULE, CONFIG_P;CONFIG_MEMSTICK_UNSAFE_RESUME;[CONFIG_MEMSTICK, CONFIG_MEMSTICK_MODULE, CONFIG_PM]
permanent nesting depends;./drivers/rtc/rtc-ds1685.c;!(CONFIG_RTC_DRV_DS1685) && !(CONFIG_RTC_DRV_DS1689);((CONFIG_RTC_LIB && (CONFIG_RTC_DRV_DS1685_FAMILY || CONFIG_RTC_DRV_DS1685_FAMILY_MODULE))) && ((CONFIG_RTC_DS1685_PROC_REGS) && (CONFIG_PROC_FS));866;855;!CONFIG_PROC_FS, CONFIG_RTC_DRV_DS1685, !CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, !CONFIG_RTC_DS1685_PROC_REGS, CONFIG_RTC_DRV_DS1685_FAMILY, !CONFIG_RTC_DRV_DS1689, CONFIG_RTC_LI;CONFIG_RTC_DRV_DS1685;[CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, CONFIG_RTC_LIB]
permanent nesting depends;./drivers/rtc/rtc-ds1685.c;! CONFIG_RTC_DRV_DS1685;((CONFIG_RTC_LIB && (CONFIG_RTC_DRV_DS1685_FAMILY || CONFIG_RTC_DRV_DS1685_FAMILY_MODULE))) && ((! CONFIG_RTC_DRV_DS1689) && (CONFIG_SYSFS));964;960;CONFIG_RTC_DRV_DS1685, !CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, !CONFIG_RTC_DRV_DS1689, CONFIG_RTC_LIB, !CONFIG_SYSF;CONFIG_RTC_DRV_DS1685;[CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, CONFIG_RTC_LIB]
permanent nesting depends;./drivers/rtc/rtc-ds1685.c;CONFIG_RTC_DRV_DS1685;((CONFIG_RTC_LIB && (CONFIG_RTC_DRV_DS1685_FAMILY || CONFIG_RTC_DRV_DS1685_FAMILY_MODULE))) && ((! CONFIG_RTC_DRV_DS1689) && (CONFIG_SYSFS));979;960;CONFIG_RTC_DRV_DS1685, !CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, !CONFIG_RTC_DRV_DS1689, CONFIG_RTC_LIB, !CONFIG_SYSF;CONFIG_RTC_DRV_DS1685;[CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, CONFIG_RTC_LIB]
permanent nesting depends;./drivers/rtc/rtc-ds1685.c;! CONFIG_RTC_DRV_DS1685;((CONFIG_RTC_LIB && (CONFIG_RTC_DRV_DS1685_FAMILY || CONFIG_RTC_DRV_DS1685_FAMILY_MODULE))) && ((! CONFIG_RTC_DRV_DS1689) && (CONFIG_SYSFS));989;960;CONFIG_RTC_DRV_DS1685, !CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, !CONFIG_RTC_DRV_DS1689, CONFIG_RTC_LIB, !CONFIG_SYSF;CONFIG_RTC_DRV_DS1685;[CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, CONFIG_RTC_LIB]
permanent nesting depends;./drivers/rtc/rtc-ds1685.c;! CONFIG_RTC_DRV_DS1685;((CONFIG_RTC_LIB && (CONFIG_RTC_DRV_DS1685_FAMILY || CONFIG_RTC_DRV_DS1685_FAMILY_MODULE))) && ((! CONFIG_RTC_DRV_DS1689) && (CONFIG_SYSFS));1044;1040;CONFIG_RTC_DRV_DS1685, !CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, !CONFIG_RTC_DRV_DS1689, CONFIG_RTC_LIB, !CONFIG_SYSF;CONFIG_RTC_DRV_DS1685;[CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, CONFIG_RTC_LIB]
permanent nesting depends;./drivers/rtc/rtc-ds1685.c;CONFIG_RTC_DRV_DS1685;((CONFIG_RTC_LIB && (CONFIG_RTC_DRV_DS1685_FAMILY || CONFIG_RTC_DRV_DS1685_FAMILY_MODULE))) && ((! CONFIG_RTC_DRV_DS1689) && (CONFIG_SYSFS));1059;1040;CONFIG_RTC_DRV_DS1685, !CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, !CONFIG_RTC_DRV_DS1689, CONFIG_RTC_LIB, !CONFIG_SYSF;CONFIG_RTC_DRV_DS1685;[CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, CONFIG_RTC_LIB]
permanent nesting depends;./drivers/rtc/rtc-ds1685.c;! CONFIG_RTC_DRV_DS1685;((CONFIG_RTC_LIB && (CONFIG_RTC_DRV_DS1685_FAMILY || CONFIG_RTC_DRV_DS1685_FAMILY_MODULE))) && ((! CONFIG_RTC_DRV_DS1689) && (CONFIG_SYSFS));1069;1040;CONFIG_RTC_DRV_DS1685, !CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, !CONFIG_RTC_DRV_DS1689, CONFIG_RTC_LIB, !CONFIG_SYSF;CONFIG_RTC_DRV_DS1685;[CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, CONFIG_RTC_LIB]
permanent nesting depends;./drivers/rtc/rtc-ds1685.c;!(CONFIG_RTC_DRV_DS1685) && !(CONFIG_RTC_DRV_DS1689);((CONFIG_RTC_LIB && (CONFIG_RTC_DRV_DS1685_FAMILY || CONFIG_RTC_DRV_DS1685_FAMILY_MODULE))) && ((CONFIG_RTC_DS1685_SYSFS_REGS) && (CONFIG_SYSFS));1236;1191;CONFIG_RTC_DRV_DS1685, !CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, !CONFIG_RTC_DRV_DS1689, !CONFIG_RTC_DS1685_SYSFS_REGS, CONFIG_RTC_LIB, CONFIG_SYSF;CONFIG_RTC_DRV_DS1685;[CONFIG_RTC_DRV_DS1685_FAMILY_MODULE, CONFIG_RTC_DRV_DS1685_FAMILY, CONFIG_RTC_LIB]
